lot_size_sqft,num_bedrooms,num_bathrooms,neighborhood,year_built,sale_price
2844.4725408122936,4,1,West,1988,599981.9453222179
1872.7474752809517,5,1,East,1969,440395.7364954812
3089.933967743009,5,1,West,1966,663621.0784634502
2622.3672842721553,1,4,South,1973,537907.7169246348
873.1143088741836,5,2,South,1993,286024.81575919647
3429.3048197465923,4,3,West,1967,725719.903079407
2807.3051357720237,2,2,East,2016,564685.7306392856
2879.5864853031662,4,1,South,1985,584946.6957486145
971.529534759083,6,2,North,2013,309690.5268626953
1906.1192198971446,6,1,West,1999,463286.9498146907
1675.3142702744856,6,4,South,1974,441255.26694578794
3287.618467660945,3,1,South,1966,670601.5873310168
2467.2088482339273,5,2,East,2004,568230.9902747596
2986.008678485407,3,4,West,1974,656946.3062750978
1885.9011765992602,5,3,Central,1968,442545.63827410346
1258.9922931758529,4,2,Central,2017,321039.0388781416
2208.295882345921,2,3,East,1985,469093.4009539551
785.0700427021085,2,4,South,1953,233646.35769391013
3000.130398778488,1,2,West,1986,626947.6824598245
2431.8267574539877,1,3,East,1983,506758.7247681251
2798.454446247584,3,4,South,2013,581196.3026621704
1628.1253075766183,3,3,East,2001,371502.66242463567
3415.0242707452194,1,2,West,1963,664708.8178921993
3190.051251834373,3,1,South,1960,643593.2920177589
2857.3121415139094,4,1,East,1994,606440.3560636828
1164.4522527707059,2,4,West,1953,298180.12234344083
1953.4909108083991,3,3,Central,1973,443952.1689831752
727.0309207829634,3,2,West,1960,232355.6598990845
1047.4395269958886,4,2,Central,1951,273898.8552740394
2580.8419644031183,3,3,North,2017,559616.7842004282
2759.8102521326696,5,3,West,1956,620698.9784616875
3405.778224059209,2,3,South,1950,669255.4492817658
1544.8935386006406,3,2,West,2018,384176.21252791537
1674.3331475011198,3,3,South,1963,397418.2643060956
1961.711852699843,2,2,South,2009,436896.4961371992
1149.4669413444285,5,4,North,1952,354478.19104923605
976.7723654728677,2,1,Central,1961,232485.9141056954
1979.5442860552077,2,1,Central,1958,452472.4440477986
1258.037112247564,5,2,North,2001,343065.20846614003
2542.4605845792803,6,3,Central,1995,576987.658549717
1867.7405647297592,5,3,East,1984,460992.095366279
3014.7667685677284,6,2,South,1967,650014.3403374096
2630.7687958065226,6,4,West,1956,599012.0455279716
1505.863260007919,3,2,East,1991,370510.88630165777
3013.553424046083,5,1,West,1966,654023.3476580469
2933.8166367407252,2,1,West,1993,592754.4791095167
1723.687299187506,3,4,West,2000,436824.7910294471
1436.1515013977078,4,1,East,2012,378619.8866219044
2579.2369615274292,6,4,North,1986,630057.1794233867
1005.2822024669985,6,2,West,1950,308141.99755094555
1179.733787177814,3,1,North,1970,313053.51237329206
621.350582277916,4,2,East,2012,194381.12839041403
2882.0806947562014,2,3,Central,1988,602755.9268266894
2528.067484116893,5,2,South,1995,560547.0682961894
2644.9795980163717,4,4,South,1983,597384.7155598579
2864.114189963707,4,3,Central,1961,612968.8159055162
1930.8557490611859,5,2,North,2015,468561.6672017675
2249.349468263392,4,3,East,2006,550365.5274904713
1005.4112945702066,1,4,East,2022,271678.2360763315
932.137213254323,2,2,West,2012,260741.58314363135
2538.368589192368,2,1,North,1971,521922.30610576266
1966.1789978150844,5,2,West,1968,466797.9189260677
2239.1847087954475,1,4,East,1968,482893.49778972164
2818.4966865064744,2,1,West,2017,594054.2645607628
2440.683128001713,4,4,North,1990,578052.5760735159
2205.380261908188,5,3,Central,1983,545179.3571075238
2221.700766161699,4,3,Central,2020,525300.4391377433
1481.4552843815754,6,2,North,1994,405755.1544792176
689.3717202470243,6,4,West,2016,258573.94200668088
1866.480428773851,1,1,Central,2021,403648.3260430589
1222.2955511766347,6,2,North,1955,354617.54118504806
1784.733066801445,4,2,Central,1976,435991.48160051735
3074.8689124776815,4,2,West,2003,665150.5502379084
1278.4245090094882,1,2,South,2009,317412.3210152272
769.0779508982914,4,1,South,1960,235545.53179659974
1416.01328686379,5,1,South,1973,377886.985509372
1451.4218975233825,4,1,South,1990,362846.3289085655
2519.557892707996,1,3,South,2008,529934.9459538738
2215.393241789707,4,2,Central,1958,501058.4023761426
2873.3048064085992,6,3,West,1993,611235.9495157562
2526.509266949424,5,3,South,1971,581014.954096672
1778.5218981762046,1,3,South,1965,336407.749293495
2960.6591155315004,6,3,North,1987,643566.6896845888
1084.2214677323414,6,3,West,1980,336686.3932059362
665.8650120881954,2,3,North,1996,217768.6422348771
861.1387962493611,5,3,Central,1973,258568.55162278606
2694.842116729706,3,3,West,2010,580640.0503831629
1939.4439677290234,4,2,North,1955,466158.02902043617
1067.6881591974452,3,1,Central,2012,275673.41668195004
2053.029847799754,5,4,South,1952,526939.1772900005
1041.7050978681884,6,2,North,2003,319978.1198186287
2619.3290877254344,5,3,West,1975,599099.7784437971
1893.853199164689,6,1,East,1977,483146.6918271231
1704.9615556797992,6,2,Central,1951,428358.4867652652
1474.385058528842,1,3,West,2001,330354.1508248295
2427.8195200447763,2,3,East,1962,517611.60183264536
1649.2565706048322,5,3,North,1998,423582.02166601847
854.184766016693,4,2,South,2002,241532.13309998123
942.2171161494944,1,4,East,2011,256261.5998367966
3389.503227193592,1,3,Central,2001,678977.6994848851
3234.8840030520605,4,4,South,1972,712894.4869071824
2629.150688051174,4,3,East,2003,590266.3019619901
1371.0228882326069,2,3,South,2010,336792.1836446557
3410.6114943083994,2,4,West,1973,705317.3400161733
2858.3776215008043,1,1,South,1959,571354.8021462373
2678.981548561087,4,4,South,2014,618718.8917363425
1903.1483562169872,1,4,North,1960,405321.02068901696
1389.5005293509612,4,3,North,1993,348486.2807938539
879.5337902451479,3,3,East,1967,270386.2704751645
3217.5469499771407,3,3,West,1959,666473.3979128144
1921.751240517472,5,2,East,2006,445912.5919041918
1186.853757906168,4,4,North,1960,334040.8670638568
1487.2742100368923,5,1,South,1998,385909.9048971309
2279.7367499314983,5,2,West,2000,507141.88612881914
1112.641070523772,6,3,West,1954,331967.61842623306
3084.181423867889,5,4,North,1962,692436.4026826456
2799.7066365221094,4,2,South,2007,619062.9913495737
2686.4425722577166,3,2,East,1987,585539.3852628099
1853.0698153478008,2,1,East,1958,377738.53029124293
2419.1956380370852,4,1,North,2022,545670.8171716182
2293.884109846933,1,1,Central,1969,464359.84338039125
2484.5551445089777,6,1,North,1950,551228.0736307463
844.8885313056784,6,4,East,2017,317138.269776318
1805.841466294768,1,4,West,1951,422740.5815931717
720.6811041994882,5,4,West,1990,289888.14957491326
2032.5733758091048,1,1,Central,2022,454835.3257182274
1556.5975157650773,5,1,South,1992,388291.54011326114
1019.120147711536,1,2,Central,1992,258482.42903347162
899.8686063953998,3,3,South,1978,271728.69222793565
2304.169259315365,4,2,North,1959,514068.1359162575
1094.7196087569696,5,2,East,1991,316510.9923949277
3282.848343292712,3,1,South,2015,694768.9987708308
2285.0773051311453,6,3,East,1956,539174.6752332172
1605.9224331510275,5,2,West,2014,401376.73392158
2313.6549252961086,2,1,East,1980,480990.7905657617
666.1312259861228,5,3,West,1989,254412.27634350825
3379.8217184001915,5,4,South,1962,734662.8086800338
1998.6799671344106,3,1,North,1995,451365.543737219
2869.93215902583,5,2,South,1963,637138.9772576822
839.9169997750719,6,4,East,1969,285562.43801604875
2011.309159430665,5,3,East,2002,501629.37115196674
2023.0502836281107,5,4,Central,1953,493831.69010493584
3319.6967194274503,4,2,Central,1982,682273.2131932689
2258.0113518906187,2,2,East,1993,510076.61520810507
1973.119263065166,5,3,Central,1959,465150.29619537614
1374.2294229664913,3,1,West,1971,303034.8659861906
1561.5500922934013,4,1,West,1975,358903.3609690177
2109.9499671674594,2,3,South,1998,455725.31667996786
1872.8432348846354,2,3,South,2021,434894.3820590974
662.6750316529582,1,1,East,2011,181673.7481143389
2996.2465801636376,6,3,Central,1963,664771.904914846
3198.8662383353235,1,2,North,1951,644591.4523825954
1006.7223580959712,1,3,East,1953,254308.15487516538
2206.704816263243,6,4,West,1993,547947.584987048
914.8696492927863,4,1,North,1961,260823.96373263194
2549.496269815454,3,4,East,1966,571401.3485868153
1415.577973133124,5,2,North,2011,345684.7350373007
2512.325640606515,3,4,Central,2013,561752.0415252058
2708.2843814319594,1,2,Central,2011,529288.0376904106
2829.0777265612055,5,2,North,1968,621524.889682984
912.4487432721,2,4,Central,1995,262671.27920561284
3256.434350899063,4,3,Central,1994,716091.1672836766
1267.6205735951544,6,1,North,1963,360486.21913794463
708.4964129109213,6,3,North,1990,267820.98004775133
2209.072161235302,3,4,East,1988,498877.5728614008
1675.6746232010723,5,2,Central,1978,423148.8488643791
3006.390255083998,4,4,North,2004,657981.481355255
2943.929268986475,3,3,East,1999,633386.3786459153
1519.7027891858745,1,2,West,1988,357088.54680786893
3363.4082457022605,3,1,South,2002,685296.9140365656
1443.661730606344,4,3,West,2005,388944.2910977794
2093.665674771972,6,1,North,1991,508520.84198933956
1342.298762646048,1,4,East,1969,307291.90001932636
3314.5263531419937,5,3,East,2005,740223.1554888199
1077.3626709878527,6,2,West,2002,336653.7759583861
730.240796237754,6,1,West,2021,261972.23163338559
1861.78147400881,3,3,West,1960,417435.813451171
3477.8891357619273,1,1,South,1980,671881.9541585133
3185.8640721392503,2,2,East,2017,653390.5943315197
2770.963256425153,6,4,East,1987,651412.3031059069
3183.298223547722,6,4,West,2018,710909.302727569
3190.9952551238034,4,4,North,1950,692191.8296515826
2104.6892451207023,1,4,North,1952,435967.73118855053
1516.1942503092996,1,3,West,2008,351603.9362890912
2838.8360531218655,3,1,North,1976,594385.2058805459
2518.817663186507,4,4,North,1987,610564.131549455
1683.6074137337591,1,4,East,1981,365389.5996392711
873.9533373783943,5,4,North,1979,309891.81922546297
2765.6898729121754,4,3,West,2018,620321.8133340008
1361.1354961763077,1,1,West,1956,303921.96808197483
3316.7581365479596,1,3,North,2006,680041.6832794558
1298.8146675164858,3,2,East,2014,339707.5424258959
